Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,K,algorithm,gamma,kernel,leaf_size,learning_rate,max_features,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,weights,F1-Score,accuracy,recall,sensitivity,specificity
2022-03-01 05:39:04,7.0s,3a8d60b1fdff4ccc9dca6b47e46b0254,Model: lightGBM - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,100,,31,,,95.51564435545097,95.1575430433887,95.86698402763928,95.25334679120529,95.10428205176814
2022-02-28 23:37:18,1.4min,06c0f90778824ffa8a0757abdd8ff5c7,Model: RF - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,auto,1,2,300,,,,,95.48097305763703,95.06475908914935,95.05905511741774,96.08303119735041,93.79502824515153
2022-03-01 05:28:06,1.3min,0c2980a1565d42aaace1b2def2b7daba,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,sqrt,2,2,300,,,,,95.03919612400092,94.67893217893219,95.32545309321038,94.98173925488055,94.36628110616336
2022-03-01 05:13:57,25.8s,79ea14499b624d2c8cfb7b504a7e5bd1,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,log2,1,2,300,,,,,94.99018775810464,94.58936102065873,95.54466367100777,94.50109608884118,94.75351064312818
2022-03-01 05:38:22,29.6s,81758e2168024c2fb87f9df87dc0dab1,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,auto,1,2,100,,,,,94.86759659944904,94.58148558758316,95.59524105411796,94.3723471103583,94.8492068357188
2022-02-28 23:33:08,19.4s,ff84653962b24602a8ef4fd574bf1e5e,Model: RF - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,auto,1,2,200,,,,,95.09840744409412,94.54527573134969,94.64056419528914,95.61036432694549,93.26998363932431
2022-03-01 05:24:12,26.0s,f52cc73665c943bca90f0494a74f1de2,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,auto,1,2,300,,,,,94.8581457793291,94.47947214076247,95.31777054521957,94.49845853444067,94.58975023189375
2022-02-28 23:28:49,2.8s,8a7413873a8c4031b77d5b8f28d76450,Model: KNN - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,4,,1,distance,94.39640432703548,93.94058603342631,96.81303845174831,92.19306700275246,96.34781445569566
2022-03-01 05:34:44,10.2s,24343b3a442447789946234b130b15e3,Model: RF - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,sqrt,1,2,100,,,,,94.05374181849673,93.54212860310422,94.58114033741586,93.60962003654477,93.44729337066059
2022-03-01 05:20:40,3.7s,badb374e1659409497bfd0e1132f62d5,Model: LR - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,93.58226200979772,93.09734980466688,94.00093576783316,93.43718863975727,92.79112795768042
2022-03-01 06:09:24,10.1s,ca70ccc5614247209504586773b14788,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,93.90166906353012,93.0390307924482,93.77289836978089,94.04282229692453,91.70696108171381
2022-03-01 05:20:37,2.5s,a67e0bb1094d493eb45edfff00b186ee,Model: LR - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,93.48541802170666,92.91260997067448,93.67836965248851,93.42977740536053,92.37964239388907
2022-03-01 06:09:19,4.8s,f27428b646594629b96616f563b86640,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,93.78035508622706,92.89929056768699,93.67185066797968,93.89364312943512,91.58213173308455
2022-03-01 00:28:27,5.5s,242d0c2d0b5b4fb7adc2fe6e7601d429,Model: SVM - Dataset: MDVR_KCL_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,100,12,,1,rbf,,,,,,,,,,,91.48641063357877,92.88560640324549,91.23879224914614,92.03863377856524,93.50313005603674
2022-03-01 05:10:20,3.8s,357d97452fcc499fbb8354fa090ad228,Model: LR - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,93.09183328907439,92.57119290153118,93.39472597476552,93.02572247769957,92.14100567488576
2022-03-01 05:10:18,2.5s,2fdedf1e86bf47879e014a2eca70c5b2,Model: LR - Dataset: ItalianParkinsonSpeech_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,92.98697055771176,92.37348529333262,93.04839695036097,93.02339745902533,91.55923472809636
2022-03-01 00:29:29,5.4s,33fec5770c3645619b9044bfc948e721,Model: KNN - Dataset: MDVR_KCL_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,6,,1,distance,90.63885800695294,92.22448364239409,91.0384133412468,90.52644019911216,93.58085153029124
2022-02-28 23:29:12,3.6s,33d3b608fed1415c995ae98237fdc650,Model: LR - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,92.92360515500181,92.20999190511385,92.06453233988638,94.10949365637022,90.02543811729481
2022-03-01 04:32:02,3.7s,6bf8c097e0634383b2cd08f05c713058,Model: KNN - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,6,,1,distance,89.61941132860211,92.16073781291173,94.1499313653348,85.68053565885256,96.44056448441528
2022-03-01 04:29:49,9.2s,8a9bb2d08e1a4347aca8e3a1f1583f74,Model: SVM - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,10,12,,1,rbf,,,,,,,,,,,89.64463980441872,92.07839262187088,92.51021922663273,87.0930681908034,95.40642998155336
